,text,category,entity_type,entity_value,start_offset,end_offset,tags
0,how can I cancel purchase 113542617735902?,cancel_order,order_id,113542617735902,26.0,41.0,BIL
1,can you help me canceling purchase 00004587345?,cancel_order,order_id,00004587345,35.0,46.0,BIL
2,i want assistance to cancel purchase 732201349959,cancel_order,order_id,732201349959,37.0,49.0,BLQ
3,i want assistance to cancel order 732201349959,cancel_order,order_id,732201349959,34.0,46.0,BQ
4,"I don't want my last item, help me cancel order 370795561790",cancel_order,order_id,370795561790,48.0,60.0,BCLN
5,I can no longer pay for purchase 00004587345,cancel_order,order_id,00004587345,33.0,44.0,BLN
6,I need assistance cancelling purchase 732201349959,cancel_order,order_id,732201349959,38.0,50.0,BL
7,is it possible to cancel order 113542617735902?,cancel_order,order_id,113542617735902,31.0,46.0,BI
8,assistance cancelling purchase 00123842,cancel_order,order_id,00123842,31.0,39.0,BL
9,i can no longer pay for purchase 113542617735902,cancel_order,order_id,113542617735902,33.0,48.0,BLNQ
10,how tocancel purchase 00004587345,cancel_order,order_id,00004587345,22.0,33.0,BILQZ
11,i need assistance cancelling order 00123842,cancel_order,order_id,00123842,35.0,43.0,BQ
12,problems with cancelling purchase 00123842,cancel_order,order_id,00123842,34.0,42.0,BLM
13,need to cancel order 00004587345,cancel_order,order_id,00004587345,21.0,32.0,BQ
14,I have got to cancel purchase 732201349959,cancel_order,order_id,732201349959,30.0,42.0,BL
15,"I can't afford this order, cancel purchase 732201349959",cancel_order,order_id,732201349959,43.0,55.0,BCLN
16,what do I need to do to cancel order 370795561790?,cancel_order,order_id,370795561790,37.0,49.0,BI
17,"I do not want this item, where to cancel order 370795561790?",cancel_order,order_id,370795561790,47.0,59.0,BCEILN
18,can you help me canceling purchase 00123842 ?,cancel_order,order_id,00123842,35.0,43.0,BILZ
19,"I can no longer afford purchase 00004587345, cancel it",cancel_order,order_id,00004587345,32.0,43.0,BCLN
20,i bought something cancel purchase 370795561790,cancel_order,order_id,370795561790,35.0,47.0,BCQ
21,i want help cancelling purchase 732201349959,cancel_order,order_id,732201349959,32.0,44.0,BLQ
22,i want help canceling purchase 00004587345,cancel_order,order_id,00004587345,31.0,42.0,BLQ
23,canceling order 732201349959,cancel_order,order_id,732201349959,16.0,28.0,BK
24,I need help with cancdling purchase 00004587345,cancel_order,order_id,00004587345,36.0,47.0,BLZ
25,i want help to cancel purchase  113542617735902,cancel_order,order_id,113542617735902,32.0,47.0,BLQZ
26,canceling order 113542617735902,cancel_order,order_id,113542617735902,16.0,31.0,BK
27,I need assistance cancelling purchase 370795561790,cancel_order,order_id,370795561790,38.0,50.0,BL
28,i want assistance canceloing purchase 00123842,cancel_order,order_id,00123842,38.0,46.0,BLQZ
29,want assistnace to cancel order 370795561790,cancel_order,order_id,370795561790,32.0,44.0,BQZ
30,I would like to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,32.0,47.0,BLP
31,cancel ordedr 370795561790,cancel_order,order_id,370795561790,14.0,26.0,BKZ
32,cancel purchase 370795561790,cancel_order,order_id,370795561790,16.0,28.0,BKL
33,"I want to cancel purchase 00123842, how could I do it?",cancel_order,order_id,00123842,26.0,34.0,BCILP
34,I need assistance canceling purchase 732201349959,cancel_order,order_id,732201349959,37.0,49.0,BL
35,i need assistance canceling order 00123842,cancel_order,order_id,00123842,34.0,42.0,BQ
36,cancelo purchase 370795561790,cancel_order,order_id,370795561790,17.0,29.0,BKLZ
37,question about canceling purchase 00004587345,cancel_order,order_id,00004587345,34.0,45.0,BL
38,where can I cancel purchase 00123842?,cancel_order,order_id,00123842,28.0,36.0,BIL
39,problems with canceling purchase 113542617735902,cancel_order,order_id,113542617735902,33.0,48.0,BLM
40,I don't want order 113542617735902,cancel_order,order_id,113542617735902,19.0,34.0,BN
41,I can no longer afford order 732201349959,cancel_order,order_id,732201349959,29.0,41.0,BLN
42,where can I cancel purchase 113542617735902?,cancel_order,order_id,113542617735902,28.0,43.0,BIL
43,help to cancel purchase 732201349959,cancel_order,order_id,732201349959,24.0,36.0,BL
44,i have problems with cancelling purchase 00123842,cancel_order,order_id,00123842,41.0,49.0,BLMQ
45,where can I cancel order 732201349959 ?,cancel_order,order_id,732201349959,25.0,37.0,BIZ
46,I need assistance with cancelling purchase 00123842,cancel_order,order_id,00123842,43.0,51.0,BL
47,I have problems with cancelling purchase 00123842,cancel_order,order_id,00123842,41.0,49.0,BLM
48,can uhlep me cancelling purchase 732201349959,cancel_order,order_id,732201349959,33.0,45.0,BILQZ
49,where could  i cancel purchase 370795561790,cancel_order,order_id,370795561790,31.0,43.0,BILPQZ
50,could you help me cancelling purchase 732201349959?,cancel_order,order_id,732201349959,38.0,50.0,BILP
51,I have a problem with cancelling order 00123842,cancel_order,order_id,00123842,39.0,47.0,B
52,question about cancelling purchase 732201349959,cancel_order,order_id,732201349959,35.0,47.0,BL
53,I do not know what to do to cancel order 113542617735902,cancel_order,order_id,113542617735902,41.0,56.0,BE
54,want assistance cancelling purchase 370795561790,cancel_order,order_id,370795561790,36.0,48.0,BLQ
